BSBA-MM,BS in Business Administration Major in Marketing Mgmt,CEBA
BSBA-BE,BS in Business Administration Major in Business Economics,CEBA
BSEntrep,BS in Entrepreneurship,CEBA
BSEd-Eng,Bachelor of Secondary Education Major in English,CED
BSEd-Math,Bachelor of Secondary Education Major in Mathematics,CED
BSEd-Sci,Bachelor of Secondary Education Major in Science,CED
BSEd-Fil,Bachelor of Secondary Education Major in Filipino,CED
BSEd-SS,Bachelor of Secondary Education Major in Social Studies,CED
BEEd,Bachelor of Elementary Education,CED
BPEd,Bachelor of Physical Education,CED
BSN,BS in Nursing,CHS
BSCE,BS in Civil Engineering,COE
BSChE,BS in Chemical Engineering,COE
BSCpE,BS in Computer Engineering,COE
BSEE,BS in Electrical Engineering,COE
BSEcE,BS in Electronics Engineering,COE
BSME,BS in Mechanical Engineering,COE
BSCerE,BS in Ceramics Engineering,COE
BSMetE,BS in Metallurgical Engineering,COE
BSBio,BS in Biology,CSM
BSChem,BS in Chemistry,CSM
BSMath,BS in Mathematics,CSM
BSPhys,BS in Physics,CSM
BSES,BS in Environmental Science,CSM
